timestamp,title,price,total_area,rooms,floor,total_floors,address,latitude,longitude,description,json_description,url,images_count
2026-03-25 03:46:08,"98,1 м², 3-комнатная квартира",59900000,,,,,,,,"98,1 м², 3-комнатная квартира59 900 000 ₽610 601 ₽ за м²","Продается трехкомнатная квартира 98.1 м² по цене 59,9 млн ₽ на 6 этаже из 12. 📍 Адрес: Москва, улица Петра Кончаловского, 5, Квартал «Шагал». ✅ Характеристики, описание и фото объекта id 7053956916164179873 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7053956916164179873/,8
2026-03-25 03:46:15,"129,2 м², 4-комнатная квартира",84685560,,,,,,,,"129,2 м², 4-комнатная квартира84 685 560 ₽655 461 ₽ за м²","Продается квартира 129.2 м² по цене 84,69 млн ₽ на 20 этаже из 21. 📍 Адрес: Москва, Щукинская улица, 3, Клубный дом «Интонация». ✅ Характеристики, описание и фото объекта id 6237159577203235288 на Яндекс Недвижимости",https://realty.yandex.ru/offer/6237159577203235288/,8
2026-03-25 03:46:26,"50,8 м², 2-комнатная квартира",18000000,,,,,,,,"50,8 м², 2-комнатная квартира18 000 000 ₽354 331 ₽ за м²","Продается двухкомнатная квартира 50.8 м² по цене 18 млн ₽ на 24 этаже из 43. 📍 Адрес: Москва, Строительный проезд, 9к1, ЖК «Скай Гарден». ✅ Характеристики, описание и фото объекта id 8596275603962675389 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8596275603962675389/,8
2026-03-25 03:46:37,"93,5 м², 3-комнатная квартира",30500000,,,,,,,,"93,5 м², 3-комнатная квартира30 500 000 ₽326 203 ₽ за м²","Продается трехкомнатная квартира 93.5 м² по цене 30,5 млн ₽ на 5 этаже из 5. 📍 Адрес: Москва, Красноармейская улица, 12, ✅ Характеристики, описание и фото объекта id 7035113340557126085 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7035113340557126085/,8
2026-03-25 03:46:45,"94,4 м², 3-комнатная квартира",61163528,,,,,,,,"94,4 м², 3-комнатная квартира61 163 528 ₽647 919 ₽ за м²","Продается трехкомнатная квартира 94.4 м² по цене 61,16 млн ₽ на 10 этаже из 22. 📍 Адрес: Москва, САО, район Аэропорт, ЖК «Дом на Часовой». ✅ Характеристики, описание и фото объекта id 5228459584680815586 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5228459584680815586/,8
2026-03-25 03:46:54,"57,7 м², 2-комнатная квартира",35658600,,,,,,,,"57,7 м², 2-комнатная квартира35 658 600 ₽618 000 ₽ за м²","Продается двухкомнатная квартира 57.7 м² по цене 35,66 млн ₽ на 14 этаже из 19. 📍 Адрес: Москва, улица Расплетина, 2к1, ЖК «Театральный квартал». ✅ Характеристики, описание и фото объекта id 3542202109376499467 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3542202109376499467/,8
2026-03-25 03:47:02,"79,7 м², 3-комнатная квартира",56360172,,,,,,,,"79,7 м², 3-комнатная квартира56 360 172 ₽707 154 ₽ за м²","Продается трехкомнатная квартира 79.7 м² по цене 56,36 млн ₽ на 23 этаже из 57. 📍 Адрес: Москва, Юго-ЗАО, район Коньково, 40-й квартал, дом Обручева 30, к1, Дом «Обручева 30». ✅ Характеристики, описание и фото объекта id 3938451244122809933 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3938451244122809933/,8
2026-03-25 03:47:12,"135,4 м², 3-комнатная квартира",165790000,,,,,,,,"135,4 м², 3-комнатная квартира165 790 000 ₽1 224 446 ₽ за м²","Продается трехкомнатная квартира 135.4 м² по цене 165,79 млн ₽ на 3 этаже из 9. 📍 Адрес: Москва, жилой комплекс Лайф Тайм, Квартал Life Time. ✅ Характеристики, описание и фото объекта id 3922755367021999261 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3922755367021999261/,8
2026-03-25 03:47:21,"56,2 м², 2-комнатная квартира",18115396,,,,,,,,"56,2 м², 2-комнатная квартира18 115 396 ₽322 338 ₽ за м²","Продается двухкомнатная квартира 56.2 м² по цене 18,12 млн ₽ на 3 этаже из 25. 📍 Адрес: Москва, Люблинская улица, 76к5, ЖК Люблинская ул., д. 76, к. 5. ✅ Характеристики, описание и фото объекта id 2422063520852513836 на Яндекс Недвижимости",https://realty.yandex.ru/offer/2422063520852513836/,8
2026-03-25 03:47:32,"160 м², 5-комнатная квартира",125000000,,,,,,,,"160 м², 5-комнатная квартира125 000 000 ₽781 250 ₽ за м²","Продается квартира 160 м² по цене 125 млн ₽ на 6 этаже из 6. 📍 Адрес: Москва, улица Чаплыгина, 1Ас1, ✅ Характеристики, описание и фото объекта id 7412512198693509192 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7412512198693509192/,8
2026-03-25 03:47:42,"109 м², 3-комнатная квартира",58772800,,,,,,,,"109 м², 3-комнатная квартира58 772 800 ₽539 200 ₽ за м²","Продается трехкомнатная квартира 109 м² по цене 58,77 млн ₽ на 3 этаже из 39. 📍 Адрес: Москва, ВАО, район Сокольники, КОД Сокольники. ✅ Характеристики, описание и фото объекта id 7016475113487123811 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7016475113487123811/,8
2026-03-25 03:47:54,"28,1 м², квартира-студия",22982990,,,,,,,,"28,1 м², квартира-студия22 982 990₽–8%21 144 351 ₽752 468 ₽ за м²","Продается квартира-студию 28.1 м² по цене 22,98 млн ₽ на 7 этаже из 25. 📍 Адрес: Москва, ЮВАО, район Лефортово, ЖК Символ, Квартал «СИМВОЛ». ✅ Характеристики, описание и фото объекта id 5087804217682347209 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5087804217682347209/,8
2026-03-25 03:48:07,"64,1 м², 3-комнатная квартира",26536118,,,,,,,,"64,1 м², 3-комнатная квартира26 536 118 ₽413 980 ₽ за м²","Продается трехкомнатная квартира 64.1 м² по цене 26,54 млн ₽ на 14 этаже из 18. 📍 Адрес: Москва, НАО, район Коммунарка, ЖК Скандинавия, 18.2.2, Жилой район «Скандинавия». ✅ Характеристики, описание и фото объекта id 3221624791686427598 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3221624791686427598/,8
2026-03-25 03:48:17,"55,5 м², 2-комнатная квартира",39500000,,,,,,,,"55,5 м², 2-комнатная квартира39 500 000 ₽711 712 ₽ за м²","Продается двухкомнатная квартира 55.5 м² по цене 39,5 млн ₽ на 8 этаже из 26. 📍 Адрес: Москва, ЖК Репаблик, к2.2, ЖК «РЕПАБЛИК». ✅ Характеристики, описание и фото объекта id 5180127926972832448 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5180127926972832448/,8
2026-03-25 03:48:25,"259,8 м², 3-комнатная квартира",928560000,,,,,,,,"259,8 м², 3-комнатная квартира928 560 000 ₽3 574 134 ₽ за м²","Продается трехкомнатная квартира 259.8 м² по цене 928,56 млн ₽ на 5 этаже из 9. 📍 Адрес: Москва, Фрунзенская набережная, 30с1, Клубный квартал Фрунзенская набережная. ✅ Характеристики, описание и фото объекта id 6747581616178253920 на Яндекс Недвижимости",https://realty.yandex.ru/offer/6747581616178253920/,8
2026-03-25 03:48:35,"84,2 м², 3-комнатная квартира",55437280,,,,,,,,"84,2 м², 3-комнатная квартира55 437 280₽–18%45 458 569 ₽539 888 ₽ за м²","Продается трехкомнатная квартира 84.2 м² по цене 55,44 млн ₽ на 32 этаже из 34. 📍 Адрес: Москва, жилой комплекс Моментс, к2.2, ЖК «МОМЕНТС». ✅ Характеристики, описание и фото объекта id 3940749867773051113 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3940749867773051113/,8
2026-03-25 03:48:45,"69,6 м², 2-комнатная квартира",39070744,,,,,,,,"69,6 м², 2-комнатная квартира39 070 744₽–15%33 210 132 ₽477 020 ₽ за м²","Продается двухкомнатная квартира 69.62 м² по цене 39,07 млн ₽ на 12 этаже из 21. 📍 Адрес: Москва, САО, район Западное Дегунино, ЖК Селигер Сити, ЖК «Селигер Сити». ✅ Характеристики, описание и фото объекта id 825258850070964947 на Яндекс Недвижимости",https://realty.yandex.ru/offer/825258850070964947/,8
2026-03-25 03:48:55,"49,2 м², 1-комнатная квартира",32924640,,,,,,,,"49,2 м², 1-комнатная квартира32 924 640 ₽669 200 ₽ за м²","Продается однокомнатная квартира 49.2 м² по цене 32,92 млн ₽ на 12 этаже из 41. 📍 Адрес: Москва, ЖК Аура, ЖК «АУРА». ✅ Характеристики, описание и фото объекта id 8252416188091078159 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8252416188091078159/,8
2026-03-25 03:49:06,"62 м², 3-комнатная квартира",5700000,,,,,,,,"62 м², 3-комнатная квартира5 700 000 ₽91 935 ₽ за м²","Продается трехкомнатная квартира 62 м² по цене 5,7 млн ₽ на 6 этаже из 12. 📍 Адрес: Москва, улица Ивана Франко, 40к1, ✅ Характеристики, описание и фото объекта id 7053956916041227642 на Яндекс Недвижимости",https://realty.yandex.ru/offer/7053956916041227642/,8
2026-03-25 03:49:16,"56,3 м², 2-комнатная квартира",20504460,,,,,,,,"56,3 м², 2-комнатная квартира20 504 460 ₽364 200 ₽ за м²","Продается двухкомнатная квартира 56.3 м² по цене 20,5 млн ₽ на 11 этаже из 50. 📍 Адрес: Москва, ЖК Полар, 1.5, Полар. ✅ Характеристики, описание и фото объекта id 4017216401821219818 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4017216401821219818/,8
2026-03-25 03:49:25,"50,7 м², 2-комнатная квартира",28227224,,,,,,,,"50,7 м², 2-комнатная квартира28 227 224 ₽556 750 ₽ за м²","Продается двухкомнатная квартира 50.7 м² по цене 28,23 млн ₽ на 3 этаже из 59. 📍 Адрес: Москва, жилой комплекс Веер, ЖК «Веер». ✅ Характеристики, описание и фото объекта id 8244894218383170451 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8244894218383170451/,8
2026-03-25 03:49:35,"110,8 м², 4-комнатная квартира",115657768,,,,,,,,"110,8 м², 4-комнатная квартира115 657 768₽–25%86 743 326 ₽782 882 ₽ за м²","Продается квартира 110.8 м² по цене 115,66 млн ₽ на 36 этаже из 43. 📍 Адрес: Москва, ЮАО, Даниловский район, Дом «ЛОТ от Аквилон». ✅ Характеристики, описание и фото объекта id 8617308361342257112 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8617308361342257112/,8
2026-03-25 03:49:46,"50,4 м², 3-комнатные апартаменты",18000000,,,,,,,,"50,4 м², 3-комнатные апартаменты18 000 000 ₽357 143 ₽ за м²","Продается 3-комнатные апартаменты 50.4 м² по цене 18 млн ₽ на 17 этаже из 23. 📍 Адрес: Москва, Новоостаповская улица, 20, Апарт-комплекс HighWay. ✅ Характеристики, описание и фото объекта id 5180127926973703396 на Яндекс Недвижимости",https://realty.yandex.ru/offer/5180127926973703396/,8
2026-03-25 03:49:55,"71 м², 2-комнатная квартира",33900000,,,,,,,,"71 м², 2-комнатная квартира33 900 000 ₽477 465 ₽ за м²","Продается двухкомнатная квартира 71 м² по цене 33,9 млн ₽ на 4 этаже из 28. 📍 Адрес: Москва, набережная Марка Шагала, 11к3, Квартал «Шагал». ✅ Характеристики, описание и фото объекта id 8596275599528912510 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8596275599528912510/,8
2026-03-25 03:50:05,"53,4 м², 2-комнатная квартира",26094362,,,,,,,,"53,4 м², 2-комнатная квартира26 094 362 ₽488 750 ₽ за м²","Продается двухкомнатная квартира 53.39 м² по цене 26,09 млн ₽ на 28 этаже из 52. 📍 Адрес: Москва, Верейская улица, 29с32Д, ЖК «СЕТ». ✅ Характеристики, описание и фото объекта id 3474625698308908429 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3474625698308908429/,8
